Player,Avg SG Putting,Avg putts per round,one putt %,three putt %,Avg # of putts,2017 scoring avg,2018 scoring avg,2017 money,2018 money,world golf ranking,events
"Stanley, Kyle",-0.309,29.63,37.06,3.78,1.646,69.989,71.009,3402106,714694,56,52
"Van Aswegen, Tyrone",-0.32,29.36,37.97,3.44,1.631,71.181,70.934,806410,383673,320,52
"Stallings, Scott",-0.32,29.65,35.43,3.32,1.647,70.811,70.691,955337,709924,143,52
"Lahiri, Anirban",-0.336,28.6,41.74,2.7,1.589,70.799,70.358,1944289,673888,77,52
"Woodland, Gary",-0.338,29.89,36.33,4.24,1.66,70.482,69.942,2980225,1777915,26,52
"Knox, Russell",-0.339,29.41,37.86,3.89,1.634,70.765,70.52,1643924,579281,89,52
"Chappell, Kevin",-0.341,29.34,38.77,4.14,1.63,70.779,70.448,3149615,653641,36,52
"Sabbatini, Rory",-0.357,29.34,38.21,3.59,1.63,70.883,71.324,741617,195223,311,47
"Cejka, Alex",-0.359,29.51,37.23,3.03,1.639,71.461,71.236,618171,803985,218,52
"Vegas, Jhonattan",-0.37,29.67,36.85,3.64,1.648,71.054,71.532,2944738,494885,49,52
"An, Byeong Hun",-0.378,29.14,39.51,3.7,1.619,70.887,70.539,1236090,305024,98,52
"Matsuyama, Hideki",-0.383,28.86,40.57,3.29,1.603,69.624,70.732,8380570,737213,6,50
"Varner III, Harold",-0.402,29.69,36.36,3.98,1.649,70.966,71.807,918779,210337,166,52
"Kim, Si Woo",-0.412,29.16,39.41,3.93,1.62,72.253,72.028,2681177,804278,51,52
"Goosen, Retief",-0.425,29.09,38.16,3.14,1.616,71.425,70.89,414363,225191,328,42
"List, Luke",-0.426,29.52,36.9,3.74,1.64,70.428,70.612,1813219,744345,124,52
"Henry, J.J.",-0.43,30.42,32.95,2.97,1.69,71.164,71.76,734874,78347,481,52
"Duke, Ken",-0.452,29.38,37.95,3.36,1.632,72.078,72.575,225907,27397,897,52
"Garrigus, Robert",-0.456,29.46,37.73,3.55,1.637,70.712,71.651,880905,270510,204,47
"Piercy, Scott",-0.462,29.46,36.73,3.65,1.637,71.235,70.456,1317452,452418,120,46
"Kokrak, Jason",-0.468,29.97,36.61,4.62,1.665,70.961,70.069,1173708,625475,117,52
"Points, D.A.",-0.478,29.56,36.19,3.19,1.642,71.315,74.274,893700,99265,300,47
"Stegmaier, Brett",-0.514,29.97,35.31,3.58,1.665,72.115,71.457,271031,77953,725,52
"Pampling, Rod",-0.518,29.97,35.52,4.38,1.665,71.861,72.559,1539422,71050,271,48
"Palmer, Ryan",-1.066,30.21,33.75,4.51,1.678,71.116,70.038,772560,678532,99,40
