Course Hole,Avg Score,Avg O/U Par,Eagle,Birdie,Pars,Bogey,Dbl Bogey,Other,2017 Average,2018 rd 1,2018 rd 2,2018 rd 3,2018 rd 4,2018 Average
Plantation Course at Kapalua - 8,3.132,0.132,0,23,81,25,5,2,70.375,71.912,70.971,71.412,70.588,71.221
El Camaleon GC - 2,4.128,0.128,0,44,290,68,11,2,69.609,70.348,70.504,70.654,69.654,70.323
Pebble Beach GL - 14,5.126,0.126,0,48,117,56,9,1,71.801,70.699,71.161,71.994,72.053,71.389
CC of Jackson - 18,4.123,0.123,0,47,270,86,4,1,71.058,71.542,71.654,72.12,72.333,71.828
El Camaleon GC - 12,4.123,0.123,0,44,285,77,9,0,69.609,70.348,70.504,70.654,69.654,70.323
Spyglass Hill GC - 13,4.123,0.123,0,12,112,29,1,0,71.801,70.699,71.161,71.994,72.053,71.389
Monterey Peninsula CC - 15,4.123,0.123,0,18,103,32,1,1,71.801,70.699,71.161,71.994,72.053,71.389
Monterey Peninsula CC - 18,4.123,0.123,0,18,104,29,4,0,71.801,70.699,71.161,71.994,72.053,71.389
TPC Summerlin - 5,3.12,0.12,1,56,294,75,10,5,69.623,71.174,72.284,72.192,70.231,71.542
Silverado Resort and Spa North - 4,4.119,0.119,0,65,268,90,12,1,70.827,71.965,71.035,70.787,73.693,71.757
TPC Summerlin - 18,4.118,0.118,0,71,277,69,19,5,69.623,71.174,72.284,72.192,70.231,71.542
Monterey Peninsula CC - 17,4.116,0.116,0,28,87,37,1,2,71.801,70.699,71.161,71.994,72.053,71.389
Sea Island Resort (Seaside) - 4,4.113,0.113,1,36,201,57,3,3,69.184,69.761,70.297,68.466,69.425,69.682
Sea Island Resort (Plantation) - 3,3.11,0.11,0,15,109,30,1,0,69.184,69.761,70.297,68.466,69.425,69.682
TPC Scottsdale - 2,4.106,0.106,0,62,247,87,6,2,70.192,70.893,70.047,69.903,70.208,70.324
Stadium Course - 3,4.091,0.091,0,27,163,36,6,0,70.787,69.316,69.323,70.805,71.234,70.015
Pebble Beach GL - 11,4.091,0.091,1,31,150,44,5,0,71.801,70.699,71.161,71.994,72.053,71.389
Silverado Resort and Spa North - 15,3.089,0.089,1,65,279,80,8,3,70.827,71.965,71.035,70.787,73.693,71.757
TPC Summerlin - 12,4.088,0.088,0,63,300,57,18,3,69.623,71.174,72.284,72.192,70.231,71.542
El Camaleon GC - 15,3.087,0.087,0,53,280,75,7,0,69.609,70.348,70.504,70.654,69.654,70.323
CC of Jackson - 7,3.086,0.086,0,41,294,70,3,0,71.058,71.542,71.654,72.12,72.333,71.828
Stadium Course - 1,4.086,0.086,0,27,159,45,1,0,70.787,69.316,69.323,70.805,71.234,70.015
Stadium Course - 10,4.086,0.086,0,41,142,38,10,1,70.787,69.316,69.323,70.805,71.234,70.015
TPC Summerlin - 2,4.084,0.084,0,59,300,71,8,3,69.623,71.174,72.284,72.192,70.231,71.542
Waialae CC - 4,3.084,0.084,0,43,320,72,4,0,68.309,69.208,69.224,68.408,68.171,68.895
Plantation Course at Kapalua - 10,4.081,0.081,0,18,93,21,4,0,70.375,71.912,70.971,71.412,70.588,71.221
Silverado Resort and Spa North - 13,4.08,0.08,0,61,283,88,4,0,70.827,71.965,71.035,70.787,73.693,71.757
Pebble Beach GL - 1,4.078,0.078,1,32,150,45,2,1,71.801,70.699,71.161,71.994,72.053,71.389
Spyglass Hill GC - 10,4.078,0.078,0,20,105,26,3,0,71.801,70.699,71.161,71.994,72.053,71.389
CC of Jackson - 10,3.076,0.076,0,49,281,76,2,0,71.058,71.542,71.654,72.12,72.333,71.828
Plantation Course at Kapalua - 7,4.074,0.074,0,17,92,27,0,0,70.375,71.912,70.971,71.412,70.588,71.221
Plantation Course at Kapalua - 11,3.074,0.074,0,21,86,27,2,0,70.375,71.912,70.971,71.412,70.588,71.221
